OID_,hhpkm,nvpkm,areakm,hhn,nvn,hvn,grid,Shape_Length,Shape_Area,row,col
97,262.000000000000000,9.000000000000000,2.560000000000000,671,23,648,111,6400.000000000000000,2560000.000000000000000,25,
98,262.000000000000000,9.000000000000000,2.560000000000000,671,23,648,112,6400.000000000000000,2560000.000000000000000,25,
99,262.000000000000000,9.000000000000000,2.560000000000000,671,23,648,113,6400.000000000000000,2560000.000000000000000,25,
100,328.000000000000000,11.000000000000000,2.560000000000000,840,28,812,114,6400.000000000000000,2560000.000000000000000,25,
101,3.000000000000000,0.000000000000000,2.560000000000000,8,0,8,119,6400.000000000000000,2560000.000000000000000,25,
102,2.500000000000000,0.500000000000000,2.560000000000000,6,1,5,120,6400.000000000000000,2560000.000000000000000,25,
103,2.000000000000000,1.000000000000000,2.560000000000000,5,3,2,121,6400.000000000000000,2560000.000000000000000,25,
104,2.000000000000000,1.000000000000000,2.560000000000000,5,3,2,122,6400.000000000000000,2560000.000000000000000,25,
105,2.000000000000000,1.000000000000000,2.560000000000000,5,3,2,123,6400.000000000000000,2560000.000000000000000,25,
106,2.000000000000000,1.000000000000000,2.560000000000000,5,3,2,124,6400.000000000000000,2560000.000000000000000,25,
107,2.000000000000000,1.000000000000000,2.560000000000000,5,3,2,125,6400.000000000000000,2560000.000000000000000,25,
108,159.500000000000000,5.000000000000000,2.560000000000000,408,13,395,126,6400.000000000000000,2560000.000000000000000,25,
109,148.000000000000000,0.000000000000000,2.560000000000000,379,0,379,127,6400.000000000000000,2560000.000000000000000,25,
110,148.000000000000000,0.000000000000000,2.560000000000000,379,0,379,128,6400.000000000000000,2560000.000000000000000,25,
111,105.000000000000000,5.000000000000000,2.560000000000000,269,13,256,129,6400.000000000000000,2560000.000000000000000,25,
112,184.500000000000000,6.000000000000000,2.560000000000000,472,15,457,130,6400.000000000000000,2560000.000000000000000,25,
113,264.000000000000000,7.000000000000000,2.560000000000000,676,18,658,131,6400.000000000000000,2560000.000000000000000,25,
114,209.000000000000000,1.000000000000000,2.560000000000000,535,3,532,132,6400.000000000000000,2560000.000000000000000,25,
115,93.000000000000000,1.000000000000000,2.560000000000000,238,3,235,133,6400.000000000000000,2560000.000000000000000,25,
116,523.500000000000000,13.000000000000000,2.560000000000000,1340,33,1307,134,6400.000000000000000,2560000.000000000000000,25,
117,0.000000000000000,0.000000000000000,2.560000000000000,0,0,0,135,6400.000000000000000,2560000.000000000000000,25,
118,198.000000000000000,0.000000000000000,2.560000000000000,507,0,507,136,6400.000000000000000,2560000.000000000000000,25,
